(1035602W, 323208N)	(1044019W, 325646N)
(1042103W, 320122N)	(1044625W, 320159N)
(1042619W, 324756N)	(1042412W, 325030N)
(1044224W, 320044N)	(1041520W, 322417N)
(1042252W, 324644N)	(1044208W, 321412N)
(1042402W, 325025N)	(1041923W, 321642N)
(1042113W, 322441N)	(1044703W, 320853N)
(1041841W, 321604N)	(1042442W, 324831N)
(1043720W, 320603N)	(1042239W, 324522N)
(1044554W, 325728N)	(1044146W, 325714N)
(1040127W, 324900N)	(1043052W, 320953N)
(1043335W, 325047N)	(1044804W, 322727N)
(1040331W, 320814N)	(1042725W, 322738N)
(1043213W, 322101N)	(1042920W, 320711N)
(1044402W, 321200N)	(1042429W, 325013N)
(1042328W, 324716N)	(1042239W, 324534N)
(1040758W, 320901N)	(1043911W, 323605N)
(1040325W, 321144N)	(1043551W, 321610N)
(1043406W, 321129N)	(1044945W, 322717N)
(1043811W, 321500N)	(1044601W, 320917N)
(1035032W, 320956N)	(1044521W, 320548N)
(1041410W, 322520N)	(1042412W, 325030N)
(1041519W, 321212N)	(1042444W, 324836N)
(1044615W, 321253N)	(1041649W, 324410N)
(1042514W, 324637N)	(1042311W, 324614N)
(1042757W, 324925N)	(1042623W, 322817N)
(1041412W, 322951N)	(1043146W, 321208N)
(1043756W, 321133N)	(1044235W, 321541N)
(1044218W, 320432N)	(1042742W, 322719N)
(1042257W, 324815N)	(1044408W, 324857N)
(1035439W, 321946N)	(1043751W, 322025N)
(1042257W, 324815N)	(1041310W, 322520N)
(1041826W, 324307N)	(1041305W, 322305N)
(1043847W, 320745N)	(1042318W, 324615N)
(1043535W, 323335N)	(1042307W, 321348N)
(1043911W, 323605N)	(1042614W, 325120N)
(1042348W, 325104N)	(1035840W, 324908N)
(1043228W, 323607N)	(1044327W, 323522N)
(1042430W, 324948N)	(1043218W, 321740N)
(1044243W, 321045N)	(1042642W, 320144N)
(1042742W, 322719N)	(1042746W, 325109N)
(1041508W, 322433N)	(1042801W, 322427N)
